episode,pair_loss,pdlc_nll,pdlc_acc,prior_nll,auc_head,auc_cos,C,H,T,split,topk,epochs_per_episode,pairs_per_epoch,hard_neg_frac,randomize_variant,warmup,mimic_weight_used,min_anchors_per_class_used,min_queries_per_class,anchor_max_ratio
1,1.428987,0.694650,0.440367,0.704574,0.520488,0.487506,2,22,150,41,41,3,2730,0.5,True,False,0.0,2,1,0.536585
2,1.396879,1.384835,0.368794,1.376593,0.548176,0.532103,5,5,286,145,145,3,2730,0.5,True,False,0.0,3,1,0.358621
3,1.401017,1.234085,0.385714,1.234919,0.661242,0.571488,5,26,327,257,257,3,2730,0.5,True,False,0.0,3,1,0.431907
4,1.413291,1.492782,0.207547,1.500698,0.535426,0.522372,5,18,247,194,194,3,2730,0.5,True,False,0.0,3,1,0.340206
5,1.413677,0.659818,0.763636,0.572599,0.504310,0.514373,2,11,201,91,91,3,2730,0.5,True,False,0.0,2,1,0.659341
6,1.438927,0.687197,0.591304,0.676391,0.511553,0.488473,2,13,303,73,73,3,2730,0.5,True,False,0.0,2,1,0.589041
7,1.442526,0.840091,0.750000,0.745918,0.499896,0.530609,4,12,313,237,237,3,2730,0.5,True,False,0.0,3,1,0.670886
8,1.449635,0.676280,0.599379,0.696120,0.485724,0.489688,2,30,362,40,40,3,2730,0.5,True,False,0.0,2,1,0.7
9,1.444391,0.670544,0.660819,0.641999,0.512471,0.662728,2,19,368,197,197,3,2730,0.5,True,False,0.0,2,1,0.634518
10,1.437504,1.425445,0.351852,1.418969,0.544698,0.588223,5,15,358,304,304,3,2730,0.5,True,False,0.0,3,1,0.361842
11,1.450763,0.656051,0.684783,0.623213,0.510083,0.811163,2,29,396,212,212,3,2730,0.5,True,False,0.0,2,1,0.683962
12,1.482765,1.721809,0.350649,1.734009,0.613315,0.563772,6,13,295,64,64,3,2730,0.5,True,False,0.0,3,1,0.328125
13,1.474198,1.522715,0.285714,1.519220,0.522092,0.521207,5,9,198,72,72,3,2730,0.5,True,False,0.0,3,1,0.305556
14,1.458621,0.677062,0.611940,0.669272,0.508801,0.490959,2,20,147,80,80,3,2730,0.5,True,False,0.0,2,1,0.6375
15,1.465602,1.651219,0.400000,1.647066,0.482640,0.490132,6,28,121,51,51,3,2730,0.5,True,False,0.0,3,1,0.372549
16,1.445916,0.686209,0.584615,0.678759,0.494322,0.476607,2,19,306,241,241,3,2730,0.5,True,False,0.0,2,1,0.585062
17,1.461413,0.669547,0.672566,0.632892,0.487851,0.640008,2,11,363,137,137,3,2730,0.5,True,False,0.0,2,1,0.656934
18,1.447862,0.687964,0.588235,0.679371,0.507106,0.503258,2,21,146,95,95,3,2730,0.5,True,False,0.0,2,1,0.557895
19,1.455755,0.993078,0.489796,0.984143,0.571537,0.515288,4,18,363,265,265,3,2730,0.5,True,False,0.0,3,1,0.464151
20,1.452931,0.691502,0.548387,0.688913,0.480892,0.504432,2,7,151,120,120,3,2730,0.5,True,False,0.0,2,1,0.533333
21,1.485795,0.665036,0.654676,0.644518,0.489049,0.483509,2,9,185,46,46,3,2730,0.5,True,False,0.0,2,1,0.652174
22,1.449051,0.672894,0.722581,0.637317,0.515661,0.540728,2,8,362,207,207,3,2730,0.5,True,False,0.0,2,1,0.574879
23,1.458573,0.676565,0.625731,0.661251,0.509701,0.496273,2,29,358,187,187,3,2730,0.5,True,False,0.0,2,1,0.620321
24,1.496657,0.959487,0.640449,0.928995,0.506804,0.518486,3,11,160,71,71,3,2730,0.5,True,False,0.0,2,1,0.549296
25,1.456087,0.693604,0.479167,0.695502,0.492726,0.624441,2,29,333,285,285,3,2730,0.5,True,False,0.0,2,1,0.519298
26,1.474067,0.686963,0.663934,0.684185,0.510118,0.561693,2,12,157,35,35,3,2730,0.5,True,False,0.0,2,1,0.514286
27,1.449997,1.469287,0.445783,1.489749,0.618791,0.583168,5,29,362,279,279,3,2730,0.5,True,False,0.0,3,1,0.548387
28,1.465737,0.669857,0.625000,0.671491,0.498925,0.508488,2,21,257,217,217,3,2730,0.5,True,False,0.0,2,1,0.691244
29,1.461773,0.801818,0.554217,0.797756,0.610001,0.489331,3,10,393,227,227,3,2730,0.5,True,False,0.0,2,1,0.555066
30,1.465721,1.198345,0.382353,1.207283,0.562243,0.497810,4,27,276,174,174,3,2730,0.5,True,False,0.0,3,1,0.436782
31,1.462172,1.239249,0.421053,1.230531,0.507444,0.536938,4,25,286,248,248,3,2730,0.5,True,False,0.0,3,1,0.375
32,1.472832,1.207262,0.535714,1.201501,0.505031,0.518266,4,14,265,181,181,3,2730,0.5,True,False,0.0,3,1,0.569061
33,1.441307,0.693806,0.500000,0.701021,0.496323,0.510782,2,28,138,64,64,3,2730,0.5,True,False,0.0,2,1,0.5625
34,1.490446,1.584128,0.405882,1.579784,0.558781,0.575570,6,16,306,136,136,3,2730,0.5,True,False,0.0,3,1,0.382353
35,1.468552,0.693113,0.523810,0.693147,0.507953,0.503883,2,6,225,120,120,3,2730,0.5,True,False,0.0,2,1,0.5
36,1.466646,1.193906,0.508197,1.190341,0.490034,0.473074,4,27,306,184,184,3,2730,0.5,True,False,0.0,3,1,0.538043
37,1.465199,0.670678,0.627451,0.663696,0.501922,0.522968,2,31,312,261,261,3,2730,0.5,True,False,0.0,2,1,0.666667
38,1.444844,0.687712,0.555556,0.693022,0.482079,0.497601,2,5,264,228,228,3,2730,0.5,True,False,0.0,2,1,0.609649
39,1.472671,0.670906,0.630952,0.660567,0.486538,0.522367,2,29,394,142,142,3,2730,0.5,True,False,0.0,2,1,0.661972
40,1.477855,0.647380,0.702532,0.609179,0.521015,0.509978,2,19,235,77,77,3,2730,0.5,True,False,0.0,2,1,0.688312
41,1.466697,0.949902,0.648649,0.908527,0.498245,0.561139,3,13,183,109,109,3,2730,0.5,True,False,0.0,2,1,0.559633
42,1.464166,0.923981,0.628571,0.902431,0.500053,0.509450,3,11,341,236,236,3,2730,0.5,True,False,0.0,2,1,0.648305
43,1.461933,1.435203,0.340909,1.431109,0.538963,0.608622,5,26,329,197,197,3,2730,0.5,True,False,0.0,3,1,0.329949
44,1.449241,0.675294,0.611111,0.673620,0.498675,0.625592,2,28,130,112,112,3,2730,0.5,True,False,0.0,2,1,0.660714
45,1.456532,1.146152,0.505155,1.163907,0.552957,0.534606,5,17,393,296,296,3,2730,0.5,True,False,0.0,3,1,0.601351
46,1.457788,0.692423,0.527778,0.691670,0.497135,0.495944,2,31,354,318,318,3,2730,0.5,True,False,0.0,2,1,0.522013
47,1.476033,0.668674,0.645833,0.649993,0.489433,0.493864,2,7,269,173,173,3,2730,0.5,True,False,0.0,2,1,0.647399
48,1.484001,1.060871,0.474074,1.062728,0.525394,0.502096,3,19,176,41,41,3,2730,0.5,True,False,0.0,2,1,0.439024
49,1.480188,0.980643,0.479167,0.999901,0.490833,0.492342,3,27,220,172,172,3,2730,0.5,True,False,0.0,2,1,0.575581
50,1.439204,1.661650,0.231579,1.665703,0.576558,0.527679,6,18,317,222,222,3,2730,0.5,True,False,0.0,3,1,0.301802
51,1.454080,0.691757,0.530000,0.699086,0.508190,0.495984,2,30,171,71,71,3,2730,0.5,True,False,0.0,2,1,0.591549
52,1.463190,0.709345,0.422764,0.759629,0.507686,0.507121,2,19,325,202,202,3,2730,0.5,True,False,0.0,2,1,0.618812
53,1.476265,1.073937,0.333333,1.077697,0.503135,0.513425,4,27,187,163,163,3,2730,0.5,True,False,0.0,3,1,0.453988
54,1.451953,1.103477,0.373563,1.108194,0.514675,0.475852,3,28,332,158,158,3,2730,0.5,True,False,0.0,2,1,0.386076
55,1.480039,0.623702,0.794393,0.539694,0.515841,0.425381,2,19,129,22,22,3,2730,0.5,True,False,0.0,2,1,0.681818
56,1.465926,0.692130,0.519608,0.698078,0.484607,0.522091,2,13,219,117,117,3,2730,0.5,True,False,0.0,2,1,0.57265
57,1.463444,1.158942,0.487395,1.159134,0.495138,0.502060,4,19,332,213,213,3,2730,0.5,True,False,0.0,3,1,0.530516
58,1.460298,1.510376,0.409722,1.509101,0.521044,0.548908,5,7,328,40,40,3,2730,0.5,True,False,0.0,3,1,0.4
59,1.469487,0.656240,0.722222,0.608266,0.511787,0.580053,2,12,177,123,123,3,2730,0.5,True,False,0.0,2,1,0.634146
60,1.461683,0.683114,0.611111,0.668905,0.495271,0.720824,2,30,295,241,241,3,2730,0.5,True,False,0.0,2,1,0.593361
61,1.473785,0.624374,0.781250,0.545278,0.491824,0.494177,2,6,230,198,198,3,2730,0.5,True,False,0.0,2,1,0.691919
62,1.466950,1.236742,0.492308,1.227680,0.489676,0.514051,4,31,354,224,224,3,2730,0.5,True,False,0.0,3,1,0.446429
63,1.473018,0.623560,0.800000,0.537546,0.520015,0.528997,2,26,168,118,118,3,2730,0.5,True,False,0.0,2,1,0.677966
64,1.454974,1.352212,0.425926,1.353754,0.566152,0.498844,6,31,327,219,219,3,2730,0.5,True,False,0.0,3,1,0.484018
65,1.466270,0.690013,0.540230,0.694747,0.509048,0.507777,2,30,351,90,90,3,2730,0.5,True,False,0.0,2,1,0.588889
66,1.462232,1.760563,0.206107,1.764915,0.523644,0.507532,6,8,231,100,100,3,2730,0.5,True,False,0.0,3,1,0.25
67,1.469594,0.952040,0.622378,0.924972,0.499712,0.515619,3,5,184,41,41,3,2730,0.5,True,False,0.0,2,1,0.609756
68,1.482939,0.658036,0.674157,0.631622,0.497560,0.526388,2,26,142,53,53,3,2730,0.5,True,False,0.0,2,1,0.660377
69,1.453724,1.165171,0.457237,1.154163,0.563256,0.435667,4,25,349,45,45,3,2730,0.5,True,False,0.0,3,1,0.444444
70,1.471429,0.674854,0.640449,0.655159,0.484363,0.509323,2,17,219,41,41,3,2730,0.5,True,False,0.0,2,1,0.609756
71,1.456306,0.680893,0.734177,0.660588,0.490259,0.495510,2,20,291,212,212,3,2730,0.5,True,False,0.0,2,1,0.537736
72,1.470359,1.113932,0.627907,1.084169,0.598521,0.450968,4,20,125,39,39,3,2730,0.5,True,False,0.0,3,1,0.410256
73,1.471785,0.678600,0.666667,0.654701,0.509312,0.498105,2,26,125,68,68,3,2730,0.5,True,False,0.0,2,1,0.573529
74,1.449951,0.692199,0.530000,0.691429,0.500993,0.558461,2,16,351,151,151,3,2730,0.5,True,False,0.0,2,1,0.536424
75,1.455888,1.295119,0.327273,1.294756,0.613691,0.752230,5,11,220,165,165,3,2730,0.5,True,False,0.0,3,1,0.339394
76,1.471927,1.210562,0.444444,1.205176,0.526113,0.602832,4,24,236,101,101,3,2730,0.5,True,False,0.0,3,1,0.455446
77,1.454218,1.443584,0.322222,1.456993,0.559335,0.506890,5,7,147,57,57,3,2730,0.5,True,False,0.0,3,1,0.421053
78,1.451017,1.717622,0.197368,1.724506,0.539340,0.747629,6,9,267,191,191,3,2730,0.5,True,False,0.0,3,1,0.287958
79,1.461083,0.692850,0.512821,0.692822,0.490272,0.492706,2,32,252,174,174,3,2730,0.5,True,False,0.0,2,1,0.511494
80,1.460617,0.667181,0.650000,0.648067,0.507280,0.492581,2,17,215,135,135,3,2730,0.5,True,False,0.0,2,1,0.666667
81,1.444987,1.763813,0.206522,1.769535,0.503689,0.518985,6,4,187,95,95,3,2730,0.5,True,False,0.0,3,1,0.284211
82,1.471147,1.590435,0.279570,1.590511,0.498644,0.483052,6,11,300,207,207,3,2730,0.5,True,False,0.0,3,1,0.31401
83,1.447560,0.693330,0.454545,0.696112,0.503025,0.536575,2,26,163,31,31,3,2730,0.5,True,False,0.0,2,1,0.516129
84,1.502239,0.686799,0.573034,0.682471,0.494738,0.477325,2,13,154,65,65,3,2730,0.5,True,False,0.0,2,1,0.569231
85,1.482732,1.131586,0.619318,1.095457,0.571592,0.638971,4,14,215,39,39,3,2730,0.5,True,False,0.0,3,1,0.487179
86,1.498057,1.416170,0.442396,1.414717,0.519089,0.495707,5,11,338,121,121,3,2730,0.5,True,False,0.0,3,1,0.38843
87,1.474476,1.001547,0.410256,0.974281,0.546949,0.540061,4,24,175,136,136,3,2730,0.5,True,False,0.0,3,1,0.411765
88,1.447491,0.683664,0.590909,0.676531,0.496196,0.550521,2,16,317,207,207,3,2730,0.5,True,False,0.0,2,1,0.589372
89,1.479540,1.372611,0.553191,1.365942,0.565450,0.512990,5,12,131,84,84,3,2730,0.5,True,False,0.0,3,1,0.464286
90,1.457032,0.644689,0.750000,0.579697,0.489667,0.579140,2,28,198,134,134,3,2730,0.5,True,False,0.0,2,1,0.664179
91,1.475561,0.680294,0.607477,0.669865,0.500834,0.534221,2,26,303,89,89,3,2730,0.5,True,False,0.0,2,1,0.606742
92,1.458743,1.140593,0.378788,1.162250,0.466217,0.509653,4,24,310,244,244,3,2730,0.5,True,False,0.0,3,1,0.512295
93,1.451185,0.662157,0.681818,0.627274,0.497250,0.498357,2,23,197,153,153,3,2730,0.5,True,False,0.0,2,1,0.653595
94,1.457682,0.692954,0.516729,0.704525,0.481020,0.511021,2,9,328,59,59,3,2730,0.5,True,False,0.0,2,1,0.59322
95,1.471713,0.668308,0.634538,0.658180,0.496438,0.518401,2,32,323,74,74,3,2730,0.5,True,False,0.0,2,1,0.662162
96,1.459532,0.694504,0.444444,0.696238,0.499536,0.512315,2,19,125,80,80,3,2730,0.5,True,False,0.0,2,1,0.5125
97,1.444067,1.452940,0.421053,1.445502,0.610686,0.599417,5,27,141,122,122,3,2730,0.5,True,False,0.0,3,1,0.368852
98,1.448216,1.376080,0.373832,1.372820,0.591741,0.545126,5,21,398,291,291,3,2730,0.5,True,False,0.0,3,1,0.343643
99,1.481839,1.175015,0.391960,1.164972,0.522216,0.551562,4,21,264,65,65,3,2730,0.5,True,False,0.0,3,1,0.4
100,1.440217,1.331575,0.280000,1.336030,0.570047,0.516721,5,7,179,129,129,3,2730,0.5,True,False,0.0,3,1,0.379845
101,1.466845,0.879175,0.584229,0.870574,0.529714,0.470548,3,27,361,82,82,3,2730,0.5,True,False,0.0,2,1,0.560976
102,1.450615,0.678067,0.635468,0.658631,0.500931,0.518388,2,5,243,40,40,3,2730,0.5,True,False,0.0,2,1,0.6
103,1.488896,1.154483,0.400844,1.149795,0.528432,0.485381,4,9,336,99,99,3,2730,0.5,True,False,0.0,3,1,0.40404
104,1.454503,0.671182,0.690476,0.637805,0.503712,0.502181,2,18,136,52,52,3,2730,0.5,True,False,0.0,2,1,0.596154
105,1.461372,0.699856,0.431034,0.719134,0.499345,0.496746,2,8,346,172,172,3,2730,0.5,True,False,0.0,2,1,0.563953
106,1.455616,0.669769,0.658537,0.644172,0.500174,0.562611,2,26,216,134,134,3,2730,0.5,True,False,0.0,2,1,0.626866
107,1.475258,0.644909,0.714286,0.601748,0.493043,0.756827,2,14,158,74,74,3,2730,0.5,True,False,0.0,2,1,0.675676
108,1.454203,0.652326,0.718750,0.603077,0.501120,0.519754,2,19,192,160,160,3,2730,0.5,True,False,0.0,2,1,0.65625
